token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
13771,AARVEEDEN-EQ,AARVEEDEN,,-1,1,,NSE,5
13463,PIONEEREMB-EQ,PIONEEREMB,,-1,1,,NSE,5
1494,BURGERKING-EQ,BURGERKING,,-1,1,,NSE,5
757,CRISIL-EQ,CRISIL,,-1,1,,NSE,5
13890,HIRECT-EQ,HIRECT,,-1,1,,NSE,5
1811,KAKATCEM-EQ,KAKATCEM,,-1,1,,NSE,5
18497,SABEVENTS-EQ,SABEVENTS,,-1,1,,NSE,5
19235,IMFA-EQ,IMFA,,-1,1,,NSE,5
10457,ARVSMART-EQ,ARVSMART,,-1,1,,NSE,5
2799,CHEMFAB-EQ,CHEMFAB,,-1,1,,NSE,5
21238,AUBANK-EQ,AUBANK,,-1,1,,NSE,5
14058,SANGHVIMOV-EQ,SANGHVIMOV,,-1,1,,NSE,5
13305,CENTURYPLY-EQ,CENTURYPLY,,-1,1,,NSE,5
28877,MORARJEE-EQ,MORARJEE,,-1,1,,NSE,5
2969,SAKHTISUG-EQ,SAKHTISUG,,-1,1,,NSE,5
24265,ESTER-EQ,ESTER,,-1,1,,NSE,5
1041,FINPIPE-EQ,FINPIPE,,-1,1,,NSE,5
22239,EBBETF0431-EQ,EBBETF0431,,-1,1,,NSE,1
18378,FRETAIL-EQ,FRETAIL,,-1,1,,NSE,5
4717,GAIL-EQ,GAIL,,-1,1,,NSE,5
2997,SANGHIIND-EQ,SANGHIIND,,-1,1,,NSE,5
16675,BAJAJFINSV-EQ,BAJAJFINSV,,-1,1,,NSE,5
509,MAZDOCK-EQ,MAZDOCK,,-1,1,,NSE,5
10578,MPSLTD-EQ,MPSLTD,,-1,1,,NSE,5
6407,LAMBODHARA-EQ,LAMBODHARA,,-1,1,,NSE,5
20159,ARIHANTSUP-EQ,ARIHANTSUP,,-1,1,,NSE,5
17770,GROBTEA-EQ,GROBTEA,,-1,1,,NSE,5
811,DCMSHRIRAM-EQ,DCMSHRIRAM,,-1,1,,NSE,5
11971,GOLDIAM-EQ,GOLDIAM,,-1,1,,NSE,5
24225,RELAXO-EQ,RELAXO,,-1,1,,NSE,5
