token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
13565,RAMANEWS-EQ,RAMANEWS,,-1,1,,NSE,5
14908,KDDL-EQ,KDDL,,-1,1,,NSE,5
9148,DHANILOANS-N4,DHANILOANS,,-1,1,,NSE,1
1897,SRTRANSFIN-YN,SRTRANSFIN,,-1,1,,NSE,1
22344,ICICIALPLV-EQ,ICICIALPLV,,-1,1,,NSE,1
9931,VIKASMCORP-EQ,VIKASMCORP,,-1,1,,NSE,5
27307,SEPOWER-BE,SEPOWER,,-1,1,,NSE,5
12700,RALLIS-BL,RALLIS,,-1,1,,NSE,5
12394,GLAXO-BL,GLAXO,,-1,1,,NSE,5
9200,L&TFINANCE-N8,L&TFINANCE,,-1,1,,NSE,1
12258,BHARATGEAR-BL,BHARATGEAR,,-1,1,,NSE,5
12235,BAJAJHIND-BL,BAJAJHIND,,-1,1,,NSE,5
154,APCOTEXIND-EQ,APCOTEXIND,,-1,1,,NSE,5
13381,KKCL-EQ,KKCL,,-1,1,,NSE,5
17798,SOMICONVEY-BE,SOMICONVEY,,-1,1,,NSE,5
25721,POLYMED-BL,POLYMED,,-1,1,,NSE,5
3703,VIPIND-EQ,VIPIND,,-1,1,,NSE,5
4179,SUNDRMBRAK-EQ,SUNDRMBRAK,,-1,1,,NSE,5
11848,NH-BL,NH,,-1,1,,NSE,5
9157,DHANILOANS-N6,DHANILOANS,,-1,1,,NSE,1
13544,VIDHIING-BL,VIDHIING,,-1,1,,NSE,5
12067,DCM-BL,DCM,,-1,1,,NSE,5
1139,GICHSGFIN-EQ,GICHSGFIN,,-1,1,,NSE,5
4299,STERTOOLS-EQ,STERTOOLS,,-1,1,,NSE,5
6934,MODIRUBBER-BE,MODIRUBBER,,-1,1,,NSE,5
19047,IIFL-N7,IIFL,,-1,1,,NSE,1
25136,BROOKS-EQ,BROOKS,,-1,1,,NSE,5
19,INEOSSTYRO-EQ,INEOSSTYRO,,-1,1,,NSE,5
12941,SRTRANSFIN-ZC,SRTRANSFIN,,-1,1,,NSE,1
18223,KECL-BL,KECL,,-1,1,,NSE,5
12961,TCFSL-NM,TCFSL,,-1,1,,NSE,1
18394,RBLBANK-BL,RBLBANK,,-1,1,,NSE,5
25611,INDOTHAI-BL,INDOTHAI,,-1,1,,NSE,5
12683,PRECWIRE-BL,PRECWIRE,,-1,1,,NSE,5
1134,APOLLO-EQ,APOLLO,,-1,1,,NSE,5
31837,SREEL-EQ,SREEL,,-1,1,,NSE,5
11754,IRFC-NJ,IRFC,,-1,1,,NSE,1
12552,KTKBANK-BL,KTKBANK,,-1,1,,NSE,5
5058,TCFSL-NF,TCFSL,,-1,1,,NSE,1
14956,INDOWIND-BE,INDOWIND,,-1,1,,NSE,5
17635,ZYDUSWELL-EQ,ZYDUSWELL,,-1,1,,NSE,5
9581,METROPOLIS-EQ,METROPOLIS,,-1,1,,NSE,5
16045,PRINCEPIPE-EQ,PRINCEPIPE,,-1,1,,NSE,5
3486,SONAMCLOCK-SM,SONAMCLOCK,,-1,3000,,NSE,5
4284,ECLFINANCE-NI,ECLFINANCE,,-1,1,,NSE,1
3892,HATSUN-EQ,HATSUN,,-1,1,,NSE,5
12069,DHANBANK-BL,DHANBANK,,-1,1,,NSE,5
10298,PPL-BL,PPL,,-1,1,,NSE,5
30012,CEREBRAINT-EQ,CEREBRAINT,,-1,1,,NSE,5
11195,INDIGO-EQ,INDIGO,,-1,1,,NSE,5
12903,ZEEL-BL,ZEEL,,-1,1,,NSE,5
